app_id,recommendationid,review,voted_up
,149080376,"fuck the controls 
fuck the enemies 
fuck this game
10/10",True
,149070027,"""The real Dark Souls was the friends we made along the way.""
- John Darksoul",True
,137007169,Plin Plin Plon.,True
,148999603,Good game if you anger issues,True
,149029747,i love big booty asians,True
,149026073,"I tried this game in preparation for Elden Ring over a year ago and stopped at Blighttown. It being my first soulsborne, it was truly an experience filled with wonder and rage. One example of wonder would be me taking the lift under the first bell tower. One example of rage would be the walk back to the Taurus Demon. That is probably the most mad I had been at a video game in a very long time, but being more well versed in these types of games now, I look back on it and laugh.

Coming back over a year later, and after beating Elden Ring, I must say this game has so much to offer. The only stipulation being that you are willing to put in the time to learn the game, and to get better. Coming into the game I had so much drive. I wanted to beat every Dark Souls before Elden Ring came out, just to have that experience. just to not even get halfway through the first game before calling it quits. After giving it a second go and completing it, I will say that you shouldn't throw in the towel, or you're going to miss out on one of the greatest gaming journeys I've been on. 

This game, for newcomers, will beat you down over and over again. The game, for players who have played before, will beat you down over and over again (but more fun this time).

As of right now, I'm early on my Dark Souls 2 playthrough and I can only hope that it, and Dark Souls 3, can hold a candle to the greatness that is Dark Souls 1.",True
,107019128,"⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⣤⢴⢲⣤⣤⢤⣄⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢐⣾⡿⣻⣿⣽⣦⡙⣯⣩⣾⡛⢦⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣾⠏⣞⣹⣿⣶⣿⣿⣟⣹⣿⣿⡀⣇⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⣃⣼⣻⣫⡾⡿⠉⠙⠻⠿⠿⢿⣧⡟⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢹⣿⣿⣿⣫⠾⠁⠀⠀⢃⠀⠀⠀⣿⡇⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣼⣿⣿⣿⠃⠀⢿⣿⣿⣿⠄⢦⣤⡿⠃⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠸⣿⠿⣾⣿⠀⢀⠀⠉⠉⣿⡄⠻⡿⠃⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⣿⣿⣏⣳⣾⣆⣠⣾⡿⣿⠀⡸⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣿⣿⣿⣿⣿⣿⣿⡿⣿⠷⣯⡿⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⣀⣀⣀⣀⣀⣠⣤⣤⣴⣶⣶⣦⣾⣿⠀⠹⣿⣿⡿⣿⢁⠀⢻⣿⠃⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⢀⣴⣾⣿⣿⣿⣿⣿⣿⣭⣿⣿⣿⣿⣿⠟⠉⠙⣿⠀⠀⢸⣿⡿⢿⣮⣿⣿⡟⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⣠⣿⡿⠋⢨⣿⠟⠋⠉⠉⠉⠛⠻⢿⣿⣿⡄⠀⠀⢻⠀⠀⢸⡟⠀⠀⠀⠀⠉⠉⠢⣄⠀⠀⠀⠀⠀⠀⠀⠀
⢰⣿⠋⠀⠀⣾⡇⠀⠀⠀⠀⠀⠀⠀⠀⠈⠙⣿⡂⠀⢘⣧⣠⡟⠀⠀⣤⢖⣴⠂⠀⠀⠈⠳⡀⠀⠀⠀⠀⠀⠀
⣾⣇⠀⠀⠀⢸⣇⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠘⣷⣤⣼⣿⣿⣁⣴⣿⣴⠾⠃⠒⠂⢄⡀⠀⠘⠄⡀⠀⠀⠀⠀
⠈⢿⡆⠀⠀⠀⠘⣦⡀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠘⣿⣿⣿⣿⠟⠋⠁⠀⠀⠀⠀⠀⠀⠙⢦⡀⠀⠈⠳⡀⠀⠀
⠀⠈⣿⠀⠀⢰⣾⣿⣿⡆⠀⠀⠀⠀⠀⠀⠀⠀⠀⣻⣿⡏⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠙⡆⠀⠀⠘⣄⠀
⠀⣠⡟⠁⣰⣿⡟⡬⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⢀⣿⡟⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⠀⠀⠀⠸⡄
⡞⠋⠀⣠⡿⢿⣆⢡⣿⣿⠀⠀⠀⠀⠀⠀⠀⠀⣼⣿⠁⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢸⠀⠀⠀⠀⡇
⣅⣠⡾⠋⠀⠀⢻⣿⣿⣿⠀⠀⠀⠀⠀⠀⠀⣰⣿⡏⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⢀⡀⢀⠀⠀⡏⠀⠀⠀⡸⠀
⠛⠉⠀⠀⠀⠀⠀⠻⣿⣿⣷⣄⣀⠀⠀⢀⣼⣿⣿⡇⠀⠀⠀⠀⠀⠀⠀⠀⠀⡴⢋⣶⡿⠀⠀⠑⢦⠀⠀⡇⠀
⠀⠀⠀⠀⠀⠀⠀⠀⢹⣿⡙⢿⣿⣿⣿⣿⣿⣿⣿⣿⣦⣀⠀⠀⠀⠀⠀⡰⢋⣰⣿⢿⡇⠀⠀⠀⠀⢣⠀⠘⡄
⠀⠀⠀⠀⠀⠀⠀⠀⠘⣿⢷⣤⣿⠿⠟⠛⢿⣿⠿⠿⢿⣿⣷⣶⣤⣀⣼⣴⡞⢻⡏⠸⣇⠀⠀⠀⠀⢀⡇⠀⢳
⠀⠀⠀⠀⠀⠀⠀⠀⢰⣿⡄⣿⣧⣤⣤⣤⣸⣟⣀⡀⠀⠀⠹⣿⠉⢉⡵⠋⣠⢼⡇⠀⢿⡄⠀⠀⢀⡎⠀⠀⡞
⠀⠀⠀⠀⠀⠀⠀⠀⢸⣿⡉⣿⠁⠀⠀⠀⢹⣿⠉⠛⠛⠒⠛⢻⡀⢈⡤⢊⡇⠈⢿⣶⠞⢷⡀⠀⢾⠀⠀⠈⡄
⠀⠀⠀⠀⠀⠀⠀⢀⣾⡏⠳⣿⣶⣦⣤⠶⢾⡿⠲⠦⠤⠤⠤⢾⡁⢈⠔⢉⠇⠀⠈⢿⣷⢼⣿⡆⠀⢣⠀⠀⣸",True
,149025199,one of the greatest game series ive ever played. i started with the third and then went to bloodborne then elden ring and now im going back to the first to truly understand it all and how everything came to be,True
,149024555,Great now do bloodborne,True
,149017146,"DS3 Got me into the soulsborne genre, and its so cool to play the game that started the trilogy. Fantastic worldbuilding, and while combat is a lot simpler, the areas still present some challenges.",True
,57616443,"The only game that's ever made me break multiple controllers. I love it, 10/10.",True
,149009820,is good,True
,149008724,"Great design, great world, great bosses and just a great time all round",True
,149002777,"GOAT, tedious but, GOAT",True
,143559719,Ornstein and smough'a gelip oyunu silebilirsiniz,True
,136884850,plin plin plon,True
,148985842,"The janky controls and dog shit camera will be 99.9% of your deaths in this game. Not even hard, just old. 

Stellar game.
",True
,148965959,今年玩的老游戏中，唯一一个玩到通关的，打分能给6/10，但是这个打分是各种故意恶心人的地方-20分，精妙的地图设计+16分和丰富的战斗系统+10分得出来的。你问我推荐不推荐，实在是没法回答。地图比我今年玩的所有2d类银城都更加类银城，非常值得体验一下；但是桥下三老鼠、羊带二狗、喷火石像鬼、钟楼二楼十活尸、病村守门三胖、粪坑吹箭哥带狗、古城楼顶核弹哥、小隆德幽灵阵、一拳蘑菇超人、天花板四蠕虫、王城双弓、水晶坑墨菲特、七头蛇浅水摔死、以及无数的下台阶门后埋伏等等等等，每过一关我都觉得折寿。但是以上的恶心地方，和地图设计配合得又很巧妙，让我又不禁想推荐大火都去体验一下。啊，感觉大脑已经被老宫调教完成了。,True
,148963756,I love it,True
,146607227,i lost 60k souls to gwyndolin,False
,148954403,Picked up on Sale and have had really good fun with the game. It was more than worth the money I paid for it and it served as a great intro into the Souls Series for me. I would highly recommend this game.,True
,148949832,Great game. Dark Souls 1-3 are fantastic.,True
,148945865,I liked this one!,True
,148944236,shit is fantastic play it if u havent,True
,119532018,Nothing takes 294 days to fix when you've been provided the solution day 1.,False
,148943476,This is a game you can get lost in.,True
,143022179,Dark Souls but remastered.,True
,146789057,Bring Bloodborne to PC,True
,148932473,"⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⡿⠛⠉⠁⠄⢀⣤⣶⣶⣶⣶⣶⣤⣄⠄⠈⢿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⣿⠿⠋⠄⠄⠄⠄⠄⢾⣿⣿⣿⣿⣿⣿⣿⣿⣿⣆⣼⣿⣿
⣿⣿⣿⣿⣿⣿⣿⣿⠋⠄⠄⠄⠄⠄⢀⣴⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⣿⢃⡀⠂⠄⠄⠄⠄⢿⣿⣿⣿⣿⣿⣶⡶⠤⣬⣿⣿⣿⣿⣿⣿
⣿⣿⣿⣿⣿⣿⠁⠄⠄⠄⠄⠄⠄⠄⢸⣿⣿⣿⣿⣶⣾⣏⣀⣿⣿⣿⢳⣤⣜⣿
⣿⣿⣿⣿⣿⣿⠄⠄⠄⠄⠄⠄⠄⠄⢸⣿⣿⣿⣿⣿⣷⣾⣿⣿⣿⣿⣿⣁⣸⣿
⣿⣿⣿⣿⣿⣿⡀⠄⠄⠄⠄⠄⠄⠄⢸⣿⣿⣿⣿⣿⣿⣿⠿⠾⠯⣭⣿⣷⣿⣿
⣿⣿⣿⣿⣿⡿⠃⠄⠄⠄⠄⠄⠄⠄⢈⣿⣿⣿⣿⣿⠋⠄⠄⠄⠄⠈⠄⠙⡿⣿
⣿⣿⣿⣿⡉⠄⠄⠄⠄⠄⠄⠄⠄⠄⠘⢿⣿⣽⣿⠄⠐⢦⣴⣶⢚⠋⠄⠄⣁⣿
⣿⣿⣿⣿⣷⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠉⠁⠉⠁⠄⠄⠄⠸⢷⣾⡄⠄⠄⢸⣿
⣿⣿⠿⠛⠋⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⢿⠇⠄⠄⢸⣿
⠋⠁⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⢀⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⢸⣿
⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠘⣧⣄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⠄⣸⣿",True
,148928362,"Dark Souls is a true classic and a certified must play.  

9/10

My top 5 bosses:
1. Ornstein & Smough
2. Sif
3. Knight Artorias
4. Gwyn
5. Kalameet",True
,148927993,so gud,True
,55073652,"It's Ok, for a tough as nails exploration RPG with PVP mechanics.",True
,148913319,"Every soul has its dark, remastered",True
,148907932,"""Dark Souls Remastered"" is a true masterpiece that delivers an unparalleled gaming experience. The updated visuals breathe new life into this iconic title, making the bleak and atmospheric world even more immersive. The intricate level design and challenging combat system are as captivating as ever, ensuring that every victory feels incredibly rewarding. From the hauntingly beautiful soundtrack to the unforgettable boss battles, ""Dark Souls Remastered"" oozes ambiance and excellence. The game's intricate lore and cryptic storytelling invite players to delve deep into its dark and mysterious universe. For both veterans and newcomers, this remastered edition is the definitive way to explore the unforgettable world of Lordran, making it a must-play for any avid gamer.",True
,148905975,What's even the point of writing a review when the game is obviously mind-blowingly good. Remaster og no remaster- it's a masterpiece.,True
,148898391,Praise the Sun,True
,148895486,"Amazing game, please try it!",True
,143303777,"This game was recently voted the best game of all time, it’s self explanatory play it already.",True
,148889615,praise the sun,True
,148889481,"My introduction to anything soulsbourne or souls-like was Elden Ring, followed by Sekiro.  Feeling inspired, I decided to take on the classic trilogy, starting with Dark Souls I.  Being a much earlier game, you can tell the graphics and gameplay were still in their ""working out the kinks"" process, but that doesn't stop this game from being a masterpiece.  It may not have the open-world aspect that Elden Ring or match it's beauty in world design, but it is truly a work of art.  The way the world is all linked together and the main storyline are what drive this game and I'm all for it.  I definitely need a guide for a few parts to see where to go next, but other than that, the game is fairly linear without forcing the player to make one decision or another.  I, personally, found this game  lot easier than I was expecting (thank you, Sekiro), but that allowed me to focus less on grinding to prepare for a boss fight and more on the story that I'm experiencing.  Overall, this is a 10/10 game.  Takes a little bit of getting used to with a fairly steep learning curve, but I highly recommend it to anyone wanting to enjoy a classic.",True
,148888017,"I really enjoyed this game. I played hollow knight, and my first run of that took 300+ hours. I think if you want more bang for your buck, that is a better dollar-per-game-time ratio, at least for me.

Despite only taking me 1/10th of the time to complete, I think I enjoyed this game just as much. It is rough around the edges, very cryptic, and I found myself looking up guides a lot, but I still loved every second of it. I would personally recommend finding a friend who has unreasonable amounts of playtime, and asking them for cryptic hints, probably a more comedic and immersive experience.",True
,148881619,it's alright,True
,148880603,mastapeece,True
,146708102,"TLDR: This game is an unfun, dated piece of trash. I am genuinely surprised that Fromsoft decided to continue the Dark Souls trilogy after making this offense to gaming.

Dark Souls Remastered was some of the least fun I have ever had in gaming. A mixture of terrible combat, horrendous level design, awful bosses, and ugly graphics come together to create an overall garbage experience.

Let's begin with the combat. Wow, it's bad. Like really bad. When I played I tried almost every build. While the weapons were different, they all had one thing in common. They felt like shit to use. I tried straight swords, greatswords, curved greatswords, katanas, rapiers, axes, spears. I even fucking tried bows if you can believe it. EVERYTHING FELT LIKE SHIT TO USE! I ended up settling on a pure magic build. While magic still felt overall bad to use, it was the best option because it got rid of a lot of the bad mechanics that plagued melee weapons. One of the main issues that I had with the melee combat was the fact that if a pixel of your weapon made slight contact with a wall, it would stagger you. Enemies did not suffer from this which lead to bullshit situations where you were not able to hit enemies if they happened to be in a tight hallway or something similar to that. This is just one of the many things that really stood out to me. Combat was generally unsatisfying and clunky.

Next, let’s go over the level design. I don’t even know where to begin with this. With the exception of maybe Undead Burg and Undead Parish (the first couple of areas of the game), the levels of this game are laughably bad. It’s honestly kind of impressive that they managed to make a world this terrible to traverse. I wouldn’t be surprised if they held some sort of contest when making this game to see who could make the worst level. I know I keep going on and on about the level design, but it’s actually that bad. Blighttown, Sen’s Fortress, Anor Londo, New Londo Ruins, The Duke’s Archives, The Catacombs, GODDAMN NEARLY EVERY FUCKING AREA IS DOGSHIT! I kept telling myself that there was no way that the next area could be worse than the last and I was wrong every time. The only redeeming quality about the world/level design is how they link a few areas back to Firelink Shrine. They only do this about three or so times that I can remember though.

Finally, let’s end this negative review by talking about maybe the most important part of a Dark Souls game, the bosses. If you were hoping for me to say something positive about this, sorry they are bad too. I guess you can say they fit the vibe of the level they are in. Sadly the vibe of each level in this game is ass. The best bosses in this game are mediocre and the worst ones are downright offensive. Capra Demon and The Bed of Chaos are genuinely some of the worst bosses I’ve seen in gaming. Bosses that generally get praised in the Dark Souls community such as Ornstein + Smough and Great Wolf Sif are barely any better.  

Dark Souls Remastered consists of bad combat, garbage level design, and unfun bosses. I am absolutely flabbergasted, fucking astounded, that some people consider this the best game in the trilogy. I feel like Fromsoft should come to my house and apologize that they made this mess that I played through. I would not recommend this game unless you dislike fun, or if you just want bragging rights saying that you beat the game. 

2/10",False
,89683098,dick,True
,148876347,"Amazing chest ahead!
10/10",True
,148874227,it's good,True
,142626701,"i hate this game, i love this game",True
,148869269,"Dark Souls 3 is one of the best games ever and this is up there with it. The movement and feel of this game feel a bit more arcadey and faster, but that's a good thing.",True
,148867998,"Initially it wasn't my bag (baby, yeah) but it grew on me hard and fast (like my dick). Really great game.",True
,148866818,gaming,True
,148864379,The Souls series has completely destroyed my view on games and how I go about playing them. Fromsoft truly has made a masterpiece of a series.,True
,77326859,Inw,True
,148850960,PLink PLink PLonk,True
,142520105,"⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⠀⣀⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠒⢶⣆⠀⠀⠀⢰⣇⠀⠀⠀⠀⣸⡇⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⣸⡛⡆⠀⠀⡜⣿⠀⠀⡔⡩⡲⠃⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⢦⣄⠀⠀⢡⢣⡓⠤⡀⡇⡇⡇⠀⡆⠸⡅⠀⠀⣠⡴⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠻⡻⡢⢄⠑⡌⢣⣹⣁⣇⣸⡔⣡⢀⣇⠤⣺⠟⠀⠀⠀⠀⠀⠀
⠴⢿⣲⣄⠀⠀⡱⡌⢢⡩⠛⠉⠀⠀⠀⠀⠈⠑⠿⡡⢊⠎⢀⡤⣔⣢⠄⡺⠀
⠀⠀⠻⣏⠉⠭⠬⣉⠞⢀⠤⢤⣤⡄⠀⣄⣠⢤⢄⡙⡟⠐⡫⢊⠖⠉⠉⠀⠀
⠀⠀⠀⠈⢉⣉⡱⡞⠰⣥⣾⣿⣿⡏⠀⡿⣿⣻⣷⠬⠸⣭⣔⡊⠀⠀⠀⠀⠀
⠤⠴⢶⣭⠥⠤⠤⡇⠀⠀⠀⠁⠠⡖⠀⠷⡄⠁⠀⠀⠀⠧⠀⣈⣩⠿⠶⠆⠀
⠀⠀⠀⠀⣨⢟⣛⢿⠀⠀⠀⠀⠘⣛⣒⡋⠁⠀⠀⠀⣸⠻⡁⠀⠀⠀⠀⠀⠀
⠀⣠⠤⠴⡣⣫⠄⡾⢣⡀⠀⠛⠙⢟⣛⣻⠋⠀⠀⡰⣍⠓⠀⣒⣫⢷⡄⠀⠀
⢸⠟⠛⠓⠒⠁⡘⠠⢊⡩⢲⠤⣦⣄⣉⣀⣠⢴⣯⡑⢌⢫⠉⠀⠈⠫⠷⠶⠂
⠀⠀⠀⠀⠀⣼⣴⠔⠁⢇⠘⠰⠹⡈⡇⣼⠘⡜⢄⠉⠒⢕⣷⡀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠐⠋⠀⠀⠀⡼⡀⡆⠀⡇⣧⠃⠑⠺⡱⢣⠀⠀⠈⠳⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⡎⣮⠞⠀⠀⢸⣿⠀⠀⠀⣧⢸⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⢷⠁⠀⠀⠀⠰⠇⠀⠀⠀⠙⠾⠶⠀⠀⠀⠀⠀⠀⠀⠀",True
,148830230,"Leave invade sign, get backstabbed to death. 10/10",True
,148826687,Amazing game ahead,True
,148822399,Classic! One of the best souls games!,True
,129376746,"The first half of the game is honestly really fun, Blight Town isn't even that bad. But most of the bosses in this game are very underwhelming. But the boss runs are a completely different story, they are actually horrendous. There will never be a sale on this game, and the game has just aged badly. Couldn't recommend it.

Edit: Much better than Lords of the Fallen",True
,148821775,git gud,True
,148818256,"I'm sure once I play DS3 and Elden Ring again I'll remember how much better they are then this LOL but I had a really good time with this game. The first hour or so I hated it but after that I enjoyed (almost) every second, even though there's a LOT of jank that is absolutely awful lol. Like I love how the whole world is connected, but not being able to teleport between bonfires for the first half of the game sucks. There is also a lot of areas that I absolutely dread thinking about, but there's also so many memorable parts and places and so many things I really enjoyed seeing in DS3 as well. Also the co-op system is so awful, like you need a humanity (equivalent to an ember in DS3/furlcalling finger remedy in Elden Ring) but you need to scroll through the awful menu to find it, and once you use it, you need to sit down at the bonfire just to be able to actually activate it..and it's quite limited at the start but eventually you get a reliable source of it.. But even though this version of dark souls 1 is ""Remastered"" it still has its issues and jank and you can just tell its old lol. I definitely recommend playing this game solo, and I'm sure this game might be better if we had a lot more QOL changes from DS3 and Elden Ring, but regardless I really think Dark Souls 1 is one of the best!",True
,148816955,"Search Gwynevere 
Search Crossbreed Priscilla
Search Quelaag
Search Smough

Read that again 4 times but faster
Read that backwards",True
,148815536,"The Dark Souls of Dark Souls games. 

What I would consider the last seminal release of the AAA video game industry, a one-of-a-kind title even the original developer can't seem to fully re-capture the magic of. The cornerstone and main highlight of the game is the world and level design, everything is interconnected with multiple paths to reach different places with numerous shortcuts to help progression and ease backtracking. With no fast travel in the game until the last 20% or so this gives the game an incredible sense of immersion. 

Further helping with the game's immersion is its sparse use of music, reserving its sparse tracks for the games boss fights and only 4 in game areas; the only thing you will hear throughout most of this game is your own footsteps and the sounds of your environment. While there isn't much music each track is memorable, Gywn's theme, Firelink Shrine's theme and Sif's theme being highlights. 

Combat in this game is weighty where every action you make needs to be deliberate to succeed. Dark Souls difficulty is a bit of a meme, especially in the case of DS1 where the original PC release had the ""Prepare to Die"" subtitle. The game isn't really difficult, it just punishes bad behaviors and not thinking through what you're doing both in exploration and combat. Being too aggressive in combat and not watching your stamina will get you killed in enemy encounters. At the same time spamming dodges without paying attention to enemy patterns will also get you killed. While dodging has generous invincibility enemies will mix up their attack timing, delaying swings and changing patterns. You need to pay attention to both your opponent(s) and your surroundings and adjust each of your actions accordingly. 

For PVE the game is very balanced and offers numerous ways to build and outfit your character. Certain builds will struggle more with certain boss fights and situations but excel at others offering a lot of ways to play and replayability. Between the original release and the remaster I've played 4 very different builds and had a fun and interesting time with each. And despite not being able to re-spec a character on an individual playthrough the game has a ton of replay value with its varied quests, ambitious NG+ features and actually challenging (and farming heavy) achievements. 

While the story is pretty simple, the world's lore and overall tone of the game is incredibly engrossing. At the start of the game, you are given a good baseline of why your character is doing what they're doing and a broad foundation of the world you find yourself. However, by observing your environment for context clues and reading item descriptions you'll find a rich, in-depth lore that lets you have fun filling in the blanks yourself. This is complimented by countless memorable NPC, enemy, environment and weapon designs that still hold up all these years later. 

The remaster is generally an improvement, which with how poor the original PC port was isn't really a great accomplishment. The only major negative is that by changing the lighting system to a more ""realistic"" one the high contrast art style of the original is partially lost making some select areas and enemies look pretty bland compared to the original version of the game. The game still does look good overall however and you wouldn't really notice it unless you were very familiar with the original release. 

As for flaws with the game itself, I feel there are only 2 major ones. The first is that the games netcode is abysmal, PVP in all forms it takes is more funny than something that's really engaging because of how bad the rubberbanding and stuttering can be. Considering this a remastered re-release it’s disappointing nothing was done to address this issue that plagued the original (and all its sequels). Co-op is more forgiving in this regard, however if you are not the host there is still a good chance you can get a bad connection and just end up in a laggy, rubberbanding hell where none of your inputs will be read and acknowledge by the game until 10 seconds after you've pressed them. That being said there is no real reason you need to engage with the online functions of the game outside of trying to get certain covenant rewards. While the idea of invading or protecting other players' games sounds neat in concept the netcode makes it more of a headache in practice. That being said, all of this is entirely optional, you opt-in to the games online function by using an in-game consumable that basically gives you a status effect that enables the online functionality for you. So, by simply not using this item you never have to interact with these parts of the game. The less online intrusive elements like soap-stone messages and player ghosts are still as novel and enjoyable as they were at the time of release, however. 

The second flaw is the covenant system itself. Covenants are in game allegiances that offer certain rewards by ranking them up, normally through collecting certain items and engaging with some form of PVP or co-op. While the concept itself is fine none of these covenants explain how they work or what they reward when you find them in game. While a lot of stuff in Dark Souls is intentionally vague for lore or immersion reasons there is no reason for a player character to blindly join a covenant without being told what their about or what they offer to the player and is immersion breaking in itself. Outside of that this lack of explanation just leaves the player confused and forced to look up information online. This is something that could easily be fixed with in game dialogue from covenant heads or even info in the game menu when interacting with a covenant head. 

Now while I see these as flaws, they are both essentially optional systems (game is fully playable offline and you are never forced to interact with covenants), so they don't hamper the overall experience of the game. If you've not played it before I strongly recommend experiencing it, this is a classic title I grow to appreciate even more as time passes.",True
,148815185,Very fun if you're a masochist,True
,148814367,Not even close to the original experience due to BluePoint's arbitrary iterations on well-established themes that don't need to be changed but at least it's 60 fps and actually the only way to play on PC.,False
,148809493,"First Souls I ever played.
Gameplay is really good. Game map is extremely well constructed. The plot is hidden behind optional quest and dialogues - still you can find it on YouTube :)
Setting is dark and depressing. Game sounds and occasional music makes it even darker.
And talking about difficulty level - nothing to be worry about. I died so many times during first 30% of the game that my character grows so strong that rest of the game was really easy.",True
